Character No.,Character Name,Race,Gender,Age,Category,Affiliation,Alias,Abilities,Breathing Style ,Fighting Style,Demon Art,Equipment,Fights
11,Doma,Demon,Male,133,Upper Rank Demon,Twelve Kizuki,-,"Apathy, Biological Absorption, Extrasensory Perception, Immense Durability, Immense Speed & Reflexes, Immense Regeneration, Reactive Adaptation, Keen Intellect, Unlimited Stamina & Endurance",-,Tessenjutsu,Cryokinesis,Japanese War Fans,"VS Shinobu Kocho, VS Kanao Tsuyuri and Inosuke Hashibara"
12,Akaza,Demon,Male,133,Upper Rank Demon,Twelve Kizuki,Hakuji,"Extrasensory Perception, Immense Durability, Immense Regeneration, Immense Speed & Reflexes, Immense Strength, Indomitable Will, Tactical Intellect, Unlimited Stamina & Endurance",-,Master Hand-to-Hand Combatant,Destructive Death,Hands,"VS Kyojuro Rengoku, VS Tanjiro Kamado & Giyu Tomioka"
13,Nakime,Demon,Female,113,Upper Rank Demon,Twelve Kizuki,Biwa Demon,"Eye Detachment, Immense Speed & Reflexes, Talented Biwa Player",-,Biwa Player,Infinity Castle,Biwa,VS Mitsuri Kanroji & Obanai Iguro
14,Hantengu ,Demon ,Male,200,Upper Rank Demon,Twelve Kizuki,-,"Enhanced Stealth, Immense Durability, Immense Speed & Reflexes, Size Alteration, Flesh Manipulation, Biological Absorption, Unlimited Stamina & Endurance, Immense Strength, Avian Physiology, Menacing Aura",-,Multiple Clones,"Emotion Manifestation, Electrokinesis, Aerokinesis, Spear Projection, Sonic Scream, Wood Manipulation","Khakkhara, Uchiwa, J?monji Yari","VS Tanjiro Kamado, VS Nezuko Kamado, VS Genya Shinazugawa & Mitsuri Kanroji"
15,Gyokko,Demon,Male,113,Upper Rank Demon,Twelve Kizuki,Managi,"Flesh Manipulation, Immense Durability, Immense Regeneration, Immense Speed & Reflexes, Molting Transformation, Talented Artist, Unlimited Stamina & Endurance",-,Artist,Porcelain Vases,"Vase, Mud",VS Muichiro Tokito
16,Gyutaro,Demon,Male,126,Upper Rank Demon,Twelve Kizuki,Mantis,"Core Detachment, Conditional Death by Decapitation Immunity, Extrasensory Perception, Shared Biology, Flesh Manipulation, Immense Durability, Immense Regeneration, Immense Speed & Reflexes, Immense Strength, Poison Generation, Tactical Intellect, Unlimited Stamina & Endurance, ",-,Kama Proficiency,Blood Manipulation,Flesh Kama,VS Demon Slayers
17,Daki,Demon,Female,126,Upper Rank Demon,Twelve Kizuki,Ume,"Extrasensory Perception, Hair Manipulation, Immense Regeneration, Immense Speed & Reflexes, Immense Strength, Keen Intellect, Restricted Flight, Shared Biology, Decapitation Immunity, Skilled Courtesan, Unlimited Stamina & Endurance",-,Hair Manipulator,Obi Sash Manipulation,Obi Sash/Hair,VS Demon Slayers
18,Kaigaku,Demon,Male,178,Upper Rank Demon,Twelve Kizuki,Kaigaku Inadama,Immense Speed & Reflexes,Thunder Breathing,Master Swordsman,Electrokinesis,Flesh Nichirin Katana,VS Zenitsu Agatsuma
19,Enmu,Demon,Male,28,Lower Rank Demon,Twelve Kizuki,Tamio Enmu,"Enhanced Speed & Reflexes, Flesh Manipulation, Flesh Detachments, Fusion",-,Flesh Manipulator,"Sleep Inducement, Dream Manipulation","Bone Awl, Rope",VS Demon Slayers
20,Rokuro,Demon,Male,29,Lower Rank Demon,Twelve Kizuki,-,Unknown,-,Unknown,Unknown,Unknown,-
21,Wakuraba,Demon,Male,29,Lower Rank Demon,Twelve Kizuki,-,"Regenaration, Enhanced Speed",-,Unknown,Unknown,Unknown,-
22,Mukago,Demon,Female,29,Lower Rank Demon,Twelve Kizuki,-,Strength,-,Unknown,Unknown,Unknown,-
23,Rui,Demon,Male,30,Lower Rank Demon,Twelve Kizuki,Rui Ayaki,"Enhanced Durability, Enhanced Strength, Menacing Aura, Power Distribution, Unlimited Stamina & Endurance",-,Thread Manipulator,Thread Manipulation,Thread,VS Tanjiro Kamado & VS Nezuko Kamado
24,Kamanue,Demon,Male,29,Lower Rank Demon,Twelve Kizuki,-,Strength,-,Unknown,Unknown,Unknown,-
25,Kyogai,Demon,Male,29,Lower Rank Demon,Twelve Kizuki,The Drum Demon,Drumming Skills,-,Drummer,Drumming,Drum,VS Tanjiro Kamado
